Dates [UTC]	East [cm/s]	North [cm/s]	WaterT [deg C]	Tx	Ty	Speed [cm/s]	Across [cm/s]	Along [cm/s]	Dir [deg T]	Cond [ms/cm]	Salinity	Density [kg/m^3]	SoundVel [m/s]	East [m/s]	North [m/s]	AirT [deg C]	AtmPr [mb]	Gust [m/s]	Comp [deg M]	Tx	Ty	PAR 	RelH [%]	Speed [m/s]	Dir from [deg T]
2021-05-28 06:00:00	2.20	-5.20	26.60	2.00	0.00	5.65	5.52	-1.18	157.00	44.00	27.45	1017.19	-999	-3.53	4.09	19.80	1037.00	-999	26.90	-999	-999	-999	-999	5.40	139.00
2021-05-28 07:00:00	6.20	-7.50	26.60	2.00	-999	9.73	9.70	0.78	140.00	43.15	26.83	1016.71	-999	-3.59	4.03	19.70	1036.00	-999	59.40	-999	-999	-999	-999	5.40	138.00
2021-05-28 08:00:00	2.50	-8.90	27.00	2.00	0.00	9.24	8.72	-3.06	164.00	40.78	24.95	1015.19	-999	-3.60	5.05	19.60	1035.00	-999	87.40	-999	-999	-999	-999	6.20	145.00
2021-05-28 09:00:00	-1.30	-5.80	26.90	1.00	-999	5.94	4.01	-4.39	193.00	32.09	19.19	1011.00	-999	-1.86	4.96	19.70	1036.00	-999	98.30	-999	-999	-999	-999	5.30	159.00
2021-05-28 10:00:00	-1.00	-5.40	26.90	1.00	0.00	5.49	3.85	-3.92	190.00	31.39	18.76	1010.70	-999	-2.19	4.27	19.80	1036.00	-999	107.30	-999	-999	-999	-999	4.80	153.00
2021-05-28 11:00:00	-5.40	-6.00	26.90	0.00	-999	8.07	1.82	-7.86	222.00	31.96	19.14	1010.99	-999	-2.43	5.70	19.70	1036.00	-999	112.20	-999	-999	-999	-999	6.20	157.00
2021-05-28 12:00:00	-2.00	-8.10	26.90	0.00	0.00	8.34	5.49	-6.28	194.00	31.06	18.55	1010.56	-999	-2.43	5.70	0.00	0.00	-999	1.10	-999	-999	-999	-999	6.20	157.00
2021-05-28 13:00:00	-4.30	-5.50	26.70	1.00	-999	6.98	2.04	-6.68	218.00	30.06	17.97	1010.18	-999	-2.86	2.79	20.00	1037.00	-999	350.90	-999	-999	-999	-999	4.00	134.00
2021-05-28 14:00:00	-5.70	-1.90	26.80	1.00	0.00	6.01	-1.71	-5.76	252.00	29.42	17.49	1009.78	-999	-1.99	1.34	20.70	1044.00	-999	238.50	-999	-999	-999	-999	2.40	124.00
2021-05-28 15:00:00	-3.20	-1.20	27.20	2.00	-999	3.42	-0.85	-3.31	249.00	30.37	17.95	1010.00	-999	-1.99	-0.18	21.50	1047.00	-999	258.20	-999	-999	-999	-999	2.00	85.00
2021-05-28 16:00:00	-4.10	-0.30	27.20	4.00	-1.00	4.11	-2.11	-3.53	266.00	29.08	17.14	1009.43	-999	-3.24	-0.60	21.70	1050.00	-999	279.30	-999	-999	-999	-999	3.30	80.00
2021-05-28 17:00:00	-3.00	-0.20	27.40	4.00	-999	3.01	-1.56	-2.57	266.00	27.82	16.25	1008.72	-999	-4.60	-0.08	21.30	1047.00	-999	320.30	-999	-999	-999	-999	4.60	89.00
2021-05-28 18:00:00	2.20	-1.50	27.30	5.00	-1.00	2.66	2.49	0.94	124.00	27.38	16.01	1008.58	-999	-4.53	-0.78	21.40	1047.00	-999	326.30	-999	-999	-999	-999	4.60	80.00
2021-05-28 19:00:00	-1.60	0.00	27.30	8.00	-999	1.60	-0.92	-1.31	270.00	28.18	16.53	1008.96	-999	-5.59	0.27	21.20	1046.00	-999	329.70	-999	-999	-999	-999	5.60	93.00
2021-05-28 20:00:00	3.70	3.30	27.30	8.00	-1.00	4.96	-0.58	4.92	48.00	30.69	18.16	1010.16	-999	-7.78	-1.37	19.80	1040.00	-999	339.70	-999	-999	-999	-999	7.90	80.00
2021-05-28 21:00:00	13.50	-5.60	27.30	7.00	-999	14.62	12.33	7.85	113.00	32.57	19.40	1011.08	-999	-7.30	0.23	20.20	1041.00	-999	346.60	-999	-999	-999	-999	7.30	92.00
2021-05-28 22:00:00	12.80	-12.30	27.30	8.00	-3.00	17.75	17.42	3.43	134.00	34.22	20.45	1011.82	-999	-6.00	0.09	18.80	1039.00	-999	350.20	-999	-999	-999	-999	6.00	91.00
2021-05-28 23:00:00	9.10	-2.00	27.40	6.00	-999	9.32	6.86	6.31	102.00	36.68	22.09	1013.03	-999	-5.42	3.22	19.70	1042.00	-999	357.00	-999	-999	-999	-999	6.30	121.00
2021-05-29 01:00:00	20.30	3.00	26.60	3.00	0.00	20.52	9.19	18.35	82.00	43.86	27.33	1017.09	-999	-5.12	2.51	20.40	1043.00	-999	359.80	-999	-999	-999	-999	5.70	116.00
2021-05-29 02:00:00	21.00	-2.20	26.50	1.00	-999	21.11	13.85	15.94	96.00	45.43	28.53	1018.02	-999	-3.44	1.36	20.30	1037.00	-999	355.90	-999	-999	-999	-999	3.70	112.00
